date,Account,sentiment,daily_pnl,num_trades,avg_trade_size,long_trades,short_trades,win_rate,long_short_ratio
2023-05-01,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,0.0,3,159.0,3,0,0.0,3000000000.0
2023-12-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,0.0,9,5556.203333333334,7,2,0.0,3.49999999825
2023-12-14,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-205.43473700000007,11,10291.213636363636,5,6,0.6666666666666666,0.8333333331944445
2023-12-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-24.632033999999997,2,5304.975,2,0,0.0,1999999999.9999998
2023-12-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,0.0,3,5116.256666666667,3,0,0.0,3000000000.0
2023-12-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,304.982785,14,8305.572857142857,3,11,0.6363636363636364,0.2727272727024793
2023-12-18,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,0.0,2,15582.089999999998,2,0,0.0,1999999999.9999998
2023-12-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,1000.5386120000001,15,6106.827333333334,5,10,1.0,0.49999999995
2023-12-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,162.732282,18,7868.710555555556,10,8,1.0,1.24999999984375
2023-12-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,537.211402,49,2555.795306122449,22,27,0.9629629629629629,0.8148148147846365
2023-12-22,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,141.832675,10,8887.428,8,2,1.0,3.999999998
2023-12-23,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,146.936704,13,6033.711538461538,5,8,1.0,0.624999999921875
2023-12-24,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,1008.619956,39,10332.177948717948,21,18,0.8823529411764706,1.166666666601852
2023-12-25,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-245.081348,3,19982.836666666666,2,1,0.0,1.9999999979999998
2023-12-27,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-704.8892269999999,28,6121.823571428571,15,13,0.3076923076923077,1.1538461537573965
2023-12-28,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-970.730876,23,4352.923913043478,10,13,0.0,0.7692307691715976
2023-12-29,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,508.92214299999995,50,11391.1944,31,19,0.75,1.6315789472825484
2023-12-30,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,354.998648,52,13510.58096153846,20,32,0.696969696969697,0.6249999999804688
2024-01-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-129.53146,18,14679.973888888888,10,8,0.16666666666666666,1.24999999984375
2024-01-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,783.979116,17,7138.1611764705885,9,8,0.8888888888888888,1.124999999859375
2024-01-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,866.015507,67,5888.050149253731,32,35,0.8,0.9142857142595919
2024-01-04,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-67.60364,5,19958.508,2,3,0.0,0.6666666664444444
2024-01-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,164.141565,66,25817.31303030303,31,35,0.5652173913043478,0.8857142856889797
